INFO - 2024-01-26 18:36:27,932 - This is informational message, root
ERROR - 2024-01-26 18:36:27,932 - This is an error message, root
INFO - 2024-01-26 18:36:36,580 - This is informational message, root
ERROR - 2024-01-26 18:36:36,580 - This is an error message, root
INFO - 2024-01-26 18:36:37,355 - This is informational message, root
ERROR - 2024-01-26 18:36:37,356 - This is an error message, root
INFO - 2024-01-26 18:36:37,589 - This is informational message, root
ERROR - 2024-01-26 18:36:37,589 - This is an error message, root
INFO - 2024-01-26 18:36:37,791 - This is informational message, root
ERROR - 2024-01-26 18:36:37,791 - This is an error message, root
INFO - 2024-01-26 19:04:49,798 - This is informational message, root
ERROR - 2024-01-26 19:04:49,800 - This is an error message, root
INFO - 2024-01-26 19:04:51,734 - This is informational message, root
ERROR - 2024-01-26 19:04:51,735 - This is an error message, root
